Artikelnummer;ArticleID;K24Number;ArticleDesignation;CustomsTariffNumber
1420-14391;661736;1420-14391;[ATE] Bremsscheibe;87083091
1420-14399;661744;1420-14399;[ATE] Bremsscheibe;87083091
1420-14399;661744;1420-14399;[ATE] Bremsscheibe;87083091
1420-14399;661744;1420-14399;[ATE] Bremsscheibe;87083091
1420-14463;661886;1420-14463;[ATE] Bremsscheibe;87083091
1420-14522;420747;1420-14522;[FEB] Bremsscheibe;87083091
1420-14527;420752;1420-14527;[FEB] Bremsscheibe;87083091
1420-14545;149786;1420-14545;[PH] Bremsscheibe;87083091
1420-14545;149786;1420-14545;[PH] Bremsscheibe;87083091
1420-14564;149857;1420-14564;[PH] Bremsscheibe;87083091
1420-14646;661456;1420-14646;[ATE] Bremsscheibe;87083091
1420-14662;661283;1420-14662;[ATE] Bremsscheibe;87083091
1420-14673;661241;1420-14673;[ATE] Bremsscheibe;87083091
1420-14803;661670;1420-14803;[ATE] Bremsscheibe;87083091
1420-14815;661682;1420-14815;[ATE] Bremsscheibe;87083091
1420-14844;651395;1420-14844;[ATE] Bremsscheibe;87083091
1420-15014;651569;1420-15014;[ATE] Bremsscheibe;87083091
1420-15015;651570;1420-15015;[ATE] Bremsscheibe;87083091
1420-15017;651475;1420-15017;[ATE] Bremsscheibe;87083091
1420-15237;230717;1420-15237;[BOH] Bremsscheibe;87083091
1420-15341;231598;1420-15341;[BOH] Bremsscheibe;87083091
1420-15386;232729;1420-15386;[BOH] Bremsscheibe;87083091
1420-15489;253698;1420-15489;[BOH] Bremsscheibe;87083091
1420-15489;253698;1420-15489;[BOH] Bremsscheibe;87083091
1420-155213;2965645;1420-155213;[ATE] Bremsscheibe;87083091
1420-155263;3041762;1420-155263;[BRO] Bremsscheibe;87083099
1420-15542;254830;1420-15542;[BOH] Bremsscheibe;87083091
1420-15556;221236;1420-15556;[BOH] Bremsscheibe;87083091
1420-15556;221236;1420-15556;[BOH] Bremsscheibe;87083091
1420-15556;221236;1420-15556;[BOH] Bremsscheibe;87083091
1420-155630;3041522;1420-155630;[ZIM] Bremsscheibe;87083091
1420-155662;3041554;1420-155662;[ZIM] Bremsscheibe;87083091
1420-15609;222402;1420-15609;[BOH] Bremsscheibe;87083091
1420-15658;222940;1420-15658;[BOH] Bremsscheibe;87083091
1420-15661;222986;1420-15661;[BOH] Bremsscheibe;87083091
1420-159028;3135632;1420-159028;[FEB] Bremsscheibe;87083091
1420-159057;3135661;1420-159057;[FEB] Bremsscheibe;87083091
1420-159066;3135670;1420-159066;[FEB] Bremsscheibe;87083091
1420-159232;3326571;1420-159232;[FEB] Bremsscheibe;87083091
1420-159300;3326476;1420-159300;[BRO] Bremsscheibe;87083099
1420-159311;3326607;1420-159311;[FEB] Bremsscheibe;87083091
1420-159544;3041749;1420-159544;[BRO] Bremsscheibe;87083099
1420-159551;3135747;1420-159551;[BRO] Bremsscheibe;87083099
1420-159566;3326429;1420-159566;[BRO] Bremsscheibe;87083099
1420-159609;3393488;1420-159609;[BRO] Bremsscheibe;87083099
1420-159859;3326432;1420-159859;[BRO] Bremsscheibe;87083099
1420-16001;217121;1420-16001;[BOH] Bremsscheibe;87083091
1420-16060;251983;1420-16060;[BOH] Bremstrommel;87083099
1420-1608;481134;1420-1608;[FEB] Bremstrommel;87083099
1420-16175;651699;1420-16175;[ATE] Bremsscheibe;87083091
1420-16184;651708;1420-16184;[ATE] Bremsscheibe;87083091
1420-162518;3440092;1420-162518;[BOH] Bremsscheibe;87083091
1420-162761;3661438;1420-162761;[VAI] Bremsensatz, Scheibenbremse;87083091
1420-16484;662248;1420-16484;Bremsscheibe  [f.becker_line] - BESCHICHTET  - belüftet,VA (947);87083091
1420-165166;3330831;1420-165166;[NK] Bremstrommel;87083099
1420-16530;652158;1420-16530;[ATE] Bremsscheibe;87083091
1420-16533;652161;1420-16533;[ATE] Bremsscheibe;87083091
1420-16538;652166;1420-16538;[ATE] Bremsscheibe;87083091
1420-167743;3566505;1420-167743;[EBK] Bremsscheibe;87083091
1420-167965;3567084;1420-167965;[EBK] Bremsscheibe;87083091
1420-167965;3567084;1420-167965;[EBK] Bremsscheibe;87083091
1420-167967;3567089;1420-167967;[EBK] Bremsscheibe;87083091
1420-16938;262291;1420-16938;[BOH] Bremsscheibe;87083091
1420-16954;262358;1420-16954;[BOH] Bremsscheibe;87083091
1420-170241;3633142;1420-170241;[MXG] Bremsscheibe;87083091
1420-170241;3633142;1420-170241;[MXG] Bremsscheibe;87083091
1420-170467;3825801;1420-170467;[DEH] Bremsscheibe;87083091
1420-171657;3695713;1420-171657;[MXG] Bremsscheibe;87083091
1420-171979;3696134;1420-171979;[MXG] Bremsscheibe;87083091
1420-171979;3696134;1420-171979;[MXG] Bremsscheibe;87083091
1420-171979;3696134;1420-171979;[MXG] Bremsscheibe;87083091
1420-17199;650721;1420-17199;[ATE] Bremsscheibe;87083091
1420-17199;650721;1420-17199;[ATE] Bremsscheibe;87083091
1420-17231;237031;1420-17231;[BOH] Bremsscheibe;87083091
1420-17299;169695;1420-17299;[PH] Bremsscheibe;87083091
1420-17465;663056;1420-17465;Bremsscheibe  [f.becker_line] - BESCHICHTET -  belüftet,VA (947);87083091
1420-17675;388465;1420-17675;[FEB] Bremsscheibe;87083091
1420-17699;651046;1420-17699;[ATE] Bremsscheibe;87083091
1420-17705;651052;1420-17705;[ATE] Bremsscheibe;87083091
1420-17716;651213;1420-17716;[ATE] Bremsscheibe;87083091
1420-17735;651244;1420-17735;[ATE] Bremsscheibe;87083091
1420-17735;651244;1420-17735;[ATE] Bremsscheibe;87083091
1420-17810;164912;1420-17810;[PH] Bremsscheibe;87083091
1420-17887;165223;1420-17887;[PH] Bremsscheibe;87083091
1420-17893;165229;1420-17893;[PH] Bremsscheibe;87083091
1420-18251;163793;1420-18251;[PH] Bremsscheibe;87083091
1420-18267;163128;1420-18267;[PH] Bremsscheibe;87083091
1420-18285;163205;1420-18285;[PH] Bremsscheibe;87083091
1420-18337;310164;1420-18337;[BLT] Bremsscheibe;87083091
1420-18339;310166;1420-18339;[BLT] Bremsscheibe;87083091
1420-18556;281395;1420-18556;[BLT] Bremsscheibe;87083091
1420-18883;651002;1420-18883;[ATE] Bremsscheibe;87083091
1420-19152;193832;1420-19152;[PH] Bremsscheibe;87083091
1420-19630;195600;1420-19630;[PH] Bremsscheibe;87083091
1420-19631;195601;1420-19631;[PH] Bremsscheibe;87083091
1420-19718;193042;1420-19718;[PH] Bremsscheibe;87083091
1420-19718;193042;1420-19718;[PH] Bremsscheibe;87083091
1420-19718;193042;1420-19718;[PH] Bremsscheibe;87083091
1420-19719;193043;1420-19719;[PH] Bremsscheibe;87083091
1420-19719;193043;1420-19719;[PH] Bremsscheibe;87083091
1420-20046;666209;1420-20046;Bremsscheibe  [f.becker_line] belüftet,Vorderachse (947);87083091
1420-20178;665722;1420-20178;Bremsscheibe [f.becker_line]  Voll,HA (947);87083091
1420-20356;189964;1420-20356;[PH] Bremsscheibe;87083091
1420-20415;186238;1420-20415;[BOH] Bremsscheibe;87083091
1420-20511;186747;1420-20511;[BOH] Bremsscheibe;87083091
1420-20512;186748;1420-20512;[BOH] Bremsscheibe;87083091
1420-20526;186857;1420-20526;[BOH] Bremsscheibe;87083091
1420-20526;186857;1420-20526;[BOH] Bremsscheibe;87083091
1420-20549;187004;1420-20549;[BOH] Bremsscheibe;87083091
1420-21397;532198;1420-21397;2 Bremsscheiben  [ATE] belüftet  (936);87083091
1420-21646;541508;1420-21646;Bremsen-Set   (936);87083091
1420-21646;541508;1420-21646;Bremsen-Set   (936);87083091
1420-21646;541508;1420-21646;Bremsen-Set   (936);87083091
1420-21843;526139;1420-21843;Bremsen-Set   (936);87083091
1420-21848;526144;1420-21848;Bremsen-Set   (936);87083091
1420-21850;526146;1420-21850;Bremsen-Set   (936);87083091
1420-21860;526241;1420-21860;Bremsen-Set   (936);87083091
1420-21902;526557;1420-21902;Bremsen-Set   (936);87083091
1420-22027;521217;1420-22027;Bremsen-Set   (936);87083091
1420-22027;521217;1420-22027;Bremsen-Set   (936);87083091
1420-22062;520807;1420-22062;Bremsen-Set   (936);87083091
1420-22075;520820;1420-22075;Bremsen-Set   (936);87083091
1420-22128;522351;1420-22128;Bremsen-Set   (936);87083091
1420-22176;521987;1420-22176;Bremsen-Set   (936);87083091
1420-22225;522528;1420-22225;Bremsen-Set   (936);87083091
1420-22246;523228;1420-22246;Bremsen-Set   (936);87083091
1420-22256;523238;1420-22256;Bremsen-Set  (936);87083091
1420-22288;523686;1420-22288;Bremsen-Set   (936);87083091
1420-22369;540354;1420-22369;Bremsen-Set  (936);87083091
1420-22436;540687;1420-22436;Bremsen-Set   (936);87083091
1420-22517;541054;1420-22517;Bremsen-Set   (936);87083091
1420-22721;529856;1420-22721;Bremsen-Set  (936);87083091
1420-22783;535959;1420-22783;Bremsen-Set   (936);87083091
1420-22815;536281;1420-22815;Bremsen-Set  (936);87083091
1420-23083;527458;1420-23083;Bremsen-Set [ATE] Voll,Hinterachse  (936);87083091
1420-23109;527669;1420-23109;Bremsen-Set   (936);87083091
1420-23109;527669;1420-23109;Bremsen-Set   (936);87083091
1420-23122;527876;1420-23122;Bremsen-Set  (936);87083091
1420-23207;528407;1420-23207;Bremsen-Set [ATE] Vorderachse Belüftet  (936);87083091
1420-23255;528834;1420-23255;Bremsen-Set [ATE] belüftet,Hinterachse  (936);87083091
1420-23488;525713;1420-23488;2 Bremsscheiben  (936);87083091
1420-3985;657177;1420-3985;[ATE] Bremsscheibe;87083091
1420-3985;657177;1420-3985;[ATE] Bremsscheibe;87083091
1420-4098;656543;1420-4098;[ATE] Bremsscheibe;87083091
1420-4134;656456;1420-4134;[ATE] Bremsscheibe;87083091
1420-4156;656488;1420-4156;[ATE] Bremsscheibe;87083091
1420-4196;656891;1420-4196;[ATE] Bremsscheibe;87083091
1420-4236;656754;1420-4236;[ATE] Bremsscheibe;87083091
1420-42541;536852;1420-42541;Bremsen-Set  [ATE] belüftet  (936);87083091
1420-42566;537042;1420-42566;Bremsen-Set VA -003-  (936);87083091
1420-42898;525604;1420-42898;Bremsen-Set Power Disc   (936);87083091
1420-4295;658882;1420-4295;[ATE] Bremsscheibe;87083091
1420-4446;659409;1420-4446;[ATE] Bremsscheibe;87083091
1420-4446;659409;1420-4446;[ATE] Bremsscheibe;87083091
1420-4447;659410;1420-4447;[ATE] Bremsscheibe;87083091
1420-4458;659292;1420-4458;[ATE] Bremsscheibe;87083091
1420-4497;659315;1420-4497;[ATE] Bremsscheibe;87083091
1420-4498;659316;1420-4498;[ATE] Bremsscheibe;87083091
1420-45070;650489;1420-45070;[ATE] Bremsscheibe;87083091
1420-4576;659235;1420-4576;[ATE] Bremsscheibe;87083091
1420-45962;493813;1420-45962;Bremsen-Set PH [2x Bremsscheibe  (936);87083091
1420-4609;659268;1420-4609;[ATE] Bremsscheibe;87083091
1420-4635;659205;1420-4635;[ATE] Bremsscheibe;87083091
1420-46364;243469;1420-46364;[BRO] Bremsscheibe;87083099
1420-46372;673486;1420-46372;[BRO] Bremsscheibe;87083091
1420-46418;247631;1420-46418;[BRO] Bremsscheibe;87083099
1420-46523;248438;1420-46523;[BRO] Bremsscheibe;87083099
1420-46542;248605;1420-46542;[BRO] Bremsscheibe;87083099
1420-4659;659215;1420-4659;[ATE] Bremsscheibe;87083091
1420-46592;246256;1420-46592;[BRO] Bremsscheibe;87083099
1420-46594;246257;1420-46594;[BRO] Bremsscheibe;87083099
1420-4662;659218;1420-4662;[ATE] Bremsscheibe;87083091
1420-46669;246539;1420-46669;[BRO] Bremsscheibe;87083099
1420-46685;246582;1420-46685;[BRO] Bremsscheibe;87083099
1420-46699;246618;1420-46699;[BRO] Bremsscheibe;87083099
1420-46706;246688;1420-46706;[BRO] Bremsscheibe;87083099
1420-46856;223828;1420-46856;[BRO] Bremsscheibe;87083099
1420-46868;223966;1420-46868;[BRO] Bremsscheibe;87083099
1420-47011;225923;1420-47011;[BRO] Bremsscheibe;87083099
1420-47073;226555;1420-47073;[BRO] Bremsscheibe;87083099
1420-47244;201614;1420-47244;[BRO] Bremsscheibe;87083099
1420-47540;225646;1420-47540;[BRO] Bremsscheibe;87083099
1420-47543;225689;1420-47543;[BRO] Bremsscheibe;87083099
1420-47548;225694;1420-47548;[BRO] Bremsscheibe;87083099
1420-47548;225694;1420-47548;[BRO] Bremsscheibe;87083099
1420-47557;225857;1420-47557;[BRO] Bremsscheibe;87083099
1420-4773;659063;1420-4773;[ATE] Bremsscheibe;87083091
1420-47770;224653;1420-47770;[BRO] Bremsscheibe;87083099
1420-47803;225235;1420-47803;[BRO] Bremsscheibe;87083099
1420-4783;658185;1420-4783;[ATE] Bremsscheibe;87083091
1420-47998;200674;1420-47998;[BRO] Bremsscheibe;87083099
1420-48012;200919;1420-48012;[BRO] Bremsscheibe;87083099
1420-48023;201211;1420-48023;[BRO] Bremsscheibe;87083099
1420-48023;201211;1420-48023;[BRO] Bremsscheibe;87083099
1420-48027;201215;1420-48027;[BRO] Bremsscheibe;87083099
1420-48034;201695;1420-48034;[BRO] Bremsscheibe;87083099
1420-48075;202285;1420-48075;[BRO] Bremsscheibe;87083099
1420-48092;202540;1420-48092;[BRO] Bremsscheibe;87083099
1420-48143;203389;1420-48143;[BRO] Bremsscheibe;87083099
1420-48157;203477;1420-48157;[BRO] Bremsscheibe;87083099
1420-48210;207061;1420-48210;[BRO] Bremsscheibe;87083099
1420-48224;207228;1420-48224;[BRO] Bremsscheibe;87083099
1420-48260;207916;1420-48260;[BRO] Bremsscheibe;87083099
1420-48396;239488;1420-48396;[BRO] Bremsscheibe;87083099
1420-48413;239555;1420-48413;[BRO] Bremsscheibe;87083099
1420-48414;239556;1420-48414;[BRO] Bremsscheibe;87083099
1420-4845;659170;1420-4845;[ATE] Bremstrommel;87083099
1420-48628;240026;1420-48628;[BRO] Bremsscheibe;87083099
1420-48633;252983;1420-48633;[BRO] Bremsscheibe;87083099
1420-48735;240428;1420-48735;[BRO] Bremstrommel;87083091
1420-48811;241958;1420-48811;[BRO] Bremstrommel;87083091
1420-48860;650253;1420-48860;[ATE] Bremsscheibe;87083091
1420-48863;650256;1420-48863;[ATE] Bremsscheibe;87083091
1420-48866;650259;1420-48866;[ATE] Bremsscheibe;87083091
1420-48876;650268;1420-48876;[ATE] Bremsscheibe;87083091
1420-48884;650276;1420-48884;[ATE] Bremsscheibe;87083091
1420-48884;650276;1420-48884;[ATE] Bremsscheibe;87083091
1420-48890;650282;1420-48890;[ATE] Bremsscheibe;87083091
1420-48927;650319;1420-48927;[ATE] Bremsscheibe;87083091
1420-48938;650486;1420-48938;[ATE] Bremsscheibe;87083091
1420-48955;650402;1420-48955;[ATE] Bremsscheibe;87083091
1420-48958;650405;1420-48958;[ATE] Bremsscheibe;87083091
1420-48967;650415;1420-48967;[ATE] Bremsscheibe;87083091
1420-48967;650415;1420-48967;[ATE] Bremsscheibe;87083091
1420-48967;650415;1420-48967;[ATE] Bremsscheibe;87083091
1420-48980;238684;1420-48980;[BRO] Bremsscheibe;87083099
1420-48998;238688;1420-48998;[BRO] Bremsscheibe;87083099
1420-49012;238769;1420-49012;[BRO] Bremsscheibe;87083099
1420-49016;238773;1420-49016;[BRO] Bremsscheibe;87083099
1420-49040;238926;1420-49040;[BRO] Bremsscheibe;87083099
1420-49051;238937;1420-49051;[BRO] Bremsscheibe;87083099
1420-49070;239031;1420-49070;[BRO] Bremsscheibe;87083099
1420-49072;239034;1420-49072;[BRO] Bremsscheibe;87083099
1420-49083;239070;1420-49083;[BRO] Bremsscheibe;87083099
1420-49126;251181;1420-49126;[BRO] Bremsscheibe;87083099
1420-49137;251237;1420-49137;[BRO] Bremsscheibe;87083099
1420-49239;181296;1420-49239;[BOH] Bremsscheibe;87083091
1420-49251;181337;1420-49251;[BOH] Bremsscheibe;87083091
1420-49254;181340;1420-49254;[BOH] Bremsscheibe;87083091
1420-49269;181428;1420-49269;[BOH] Bremsscheibe;87083091
1420-49285;181626;1420-49285;[BOH] Bremsscheibe;87083091
1420-5033;133876;1420-5033;[PH] Bremsscheibe;87083091
1420-52225;555413;1420-52225;Bremsen-Set Bremstrommeln + Bremsbackensatz  (936);87083091
1420-53645;570979;1420-53645;1 Brembo Bremsen-Set [ Bremsscheibe COATED DISC LINE + Bremsbeläge] Hinterachse  (936);87083091
1420-5406;659491;1420-5406;[ATE] Bremsscheibe;87083091
1420-5431;659530;1420-5431;[ATE] Bremsscheibe;87083091
1420-5431;659530;1420-5431;[ATE] Bremsscheibe;87083091
1420-5431;659530;1420-5431;[ATE] Bremsscheibe;87083091
1420-5432;659531;1420-5432;[ATE] Bremsscheibe;87083091
1420-5435;659534;1420-5435;[ATE] Bremsscheibe;87083091
1420-5447;659516;1420-5447;[ATE] Bremsscheibe;87083091
1420-5485;103034;1420-5485;[PH] Bremsscheibe;87083091
1420-55000;587125;1420-55000;1 Brembo Bremsen-Set [ Bremsscheibe COATED DISC LINE + Bremsbeläge] Vorderachse  (936);87083091
1420-5514;102720;1420-5514;[PH] Bremsscheibe;87083091
1420-57719;1020040;1420-57719;[ZIM] Bremsscheibe;87083091
1420-57739;1020092;1420-57739;[ZIM] Bremsscheibe;87083091
1420-57770;1020157;1420-57770;[ZIM] Bremsscheibe;87083091
1420-57776;1019700;1420-57776;[ZIM] Bremsscheibe;87083091
1420-57795;1019731;1420-57795;[ZIM] Bremsscheibe;87083091
1420-57801;1019774;1420-57801;[ZIM] Bremsscheibe;87083091
1420-57801;1019774;1420-57801;[ZIM] Bremsscheibe;87083091
1420-57801;1019774;1420-57801;[ZIM] Bremsscheibe;87083091
1420-57821;1019822;1420-57821;[ZIM] Bremsscheibe;87083091
1420-57822;1019823;1420-57822;[ZIM] Bremsscheibe;87083091
1420-57825;1019826;1420-57825;[ZIM] Bremsscheibe;87083091
1420-57832;1019844;1420-57832;[ZIM] Bremsscheibe;87083091
1420-57906;1019568;1420-57906;[ZIM] Bremsscheibe;87083091
1420-58088;1020077;1420-58088;[ZIM] Bremsscheibe;87083091
1420-58158;1019786;1420-58158;[ZIM] Bremsscheibe;87083091
1420-58159;1019787;1420-58159;[ZIM] Bremsscheibe;87083091
1420-58187;1019838;1420-58187;[ZIM] Bremsscheibe;87083091
1420-58189;1019840;1420-58189;[ZIM] Bremsscheibe;87083091
1420-58190;1019676;1420-58190;[ZIM] Bremsscheibe;87083091
1420-58203;1020432;1420-58203;[ZIM] Bremsscheibe;87083091
1420-58226;1020195;1420-58226;[ZIM] Bremsscheibe;87083091
1420-58427;1019220;1420-58427;[ZIM] Bremsscheibe;87083091
1420-58617;1019534;1420-58617;[ZIM] Bremsscheibe;87083091
1420-58620;1019537;1420-58620;[ZIM] Bremsscheibe;87083091
1420-58730;1019354;1420-58730;[ZIM] Bremsscheibe;87083091
1420-58730;1019354;1420-58730;[ZIM] Bremsscheibe;87083091
1420-58730;1019354;1420-58730;[ZIM] Bremsscheibe;87083091
1420-58752;1019376;1420-58752;[ZIM] Bremsscheibe;87083091
1420-58850;1020919;1420-58850;[ZIM] Bremsscheibe;87083091
1420-59195;1020973;1420-59195;[ZIM] Bremsscheibe;87083091
1420-59235;1020944;1420-59235;[ZIM] Bremsscheibe;87083091
1420-59237;1021018;1420-59237;[ZIM] Bremsscheibe;87083091
1420-59247;1021028;1420-59247;[ZIM] Bremsscheibe;87083091
1420-59324;649991;1420-59324;[ATE] Bremsscheibe;87083091
1420-59326;649924;1420-59326;[ATE] Bremsscheibe;87083091
1420-59326;649924;1420-59326;[ATE] Bremsscheibe;87083091
1420-59331;649929;1420-59331;[ATE] Bremsscheibe;87083091
1420-59333;649931;1420-59333;[ATE] Bremsscheibe;87083091
1420-59336;649934;1420-59336;[ATE] Bremsscheibe;87083091
1420-59339;649937;1420-59339;[ATE] Bremsscheibe;87083091
1420-59343;649941;1420-59343;[ATE] Bremsscheibe;87083091
1420-59349;649916;1420-59349;[ATE] Bremsscheibe;87083091
1420-59385;1020720;1420-59385;[ZIM] Bremsscheibe;87083091
1420-59863;250152;1420-59863;[BRO] Bremsscheibe;87083099
1420-59908;250286;1420-59908;[BRO] Bremsscheibe;87083099
1420-60002;250575;1420-60002;[BRO] Bremsscheibe;87083099
1420-60017;250618;1420-60017;[BRO] Bremsscheibe;87083099
1420-60115;249011;1420-60115;[BRO] Bremsscheibe;87083099
1420-60124;249031;1420-60124;[BRO] Bremsscheibe;87083099
1420-60124;249031;1420-60124;[BRO] Bremsscheibe;87083099
1420-60138;249129;1420-60138;[BRO] Bremsscheibe;87083099
1420-60172;249359;1420-60172;[BRO] Bremsscheibe;87083099
1420-60172;249359;1420-60172;[BRO] Bremsscheibe;87083099
1420-60185;249425;1420-60185;[BRO] Bremsscheibe;87083099
1420-61500;650533;1420-61500;[ATE] Bremsscheibe;87083091
1420-61510;650543;1420-61510;[ATE] Bremsscheibe;87083091
1420-61523;650556;1420-61523;[ATE] Bremsscheibe;87083091
1420-8046;661233;1420-8046;[ATE] Bremsscheibe;87083091
1420-8046;661233;1420-8046;[ATE] Bremsscheibe;87083091
1420-8046;661233;1420-8046;[ATE] Bremsscheibe;87083091
1420-8723;660861;1420-8723;[ATE] Bremsscheibe;87083091
1420-8764;660900;1420-8764;[ATE] Bremsscheibe;87083091
1420-8785;660921;1420-8785;[ATE] Bremsscheibe;87083091
1420-8792;660928;1420-8792;[ATE] Bremsscheibe;87083091
1420-8851;660986;1420-8851;[ATE] Bremsscheibe;87083091
1430-0927;143365;1430-0927;[PH] Sensor, Raddrehzahl;87083091
1430-100462;1936797;1430-100462;[MEZ] Sensorring, ABS;90319000
1430-102702;2090185;1430-102702;[TRN] Sensor, Raddrehzahl;90299000
1430-103329;2091871;1430-103329;[TRN] Sensor, Raddrehzahl;90299000
1430-103330;2091875;1430-103330;[TRN] Sensor, Raddrehzahl;90299000
1430-103357;2091950;1430-103357;[TRN] Sensor, Raddrehzahl;90299000
1430-1061;142728;1430-1061;[PH] Sensor, Raddrehzahl;87083091
1430-109548;1848593;1430-109548;[JP] Radbremszylinder;87083091
1430-111297;2810439;1430-111297;[PH] Hauptbremszylinder;87083091
1430-113477;3676413;1430-113477;[MXG] Sensorring, ABS;87083091
1430-121249;4614035;1430-121249;[ASH] Radbremszylinder;87083091
1435-0147;79372;1435-0147;[PH] Bremssattel;87083091
1435-0351;90574;1435-0351;[PH] Führungshülse, Bremssattel;87083091
1435-0365;90889;1435-0365;[PH] Führungshülse, Bremssattel;87083091
1435-0740;82083;1435-0740;[PH] Bremssattel;87083091
1435-100578;1266741;1435-100578;[TRW] Bremssattel;87083091
1435-102013;1168054;1435-102013;[NK] Bremssattel;87083091
1435-102014;1168055;1435-102014;[NK] Bremssattel;87083091
1435-104828;1292642;1435-104828;[ABS] Bremssattel;87083091
1435-105148;1253194;1435-105148;[TON] Bremssattel;87083091
1435-105203;1103525;1435-105203;[NK] Bremssattel;87083091
1435-108039;1726332;1435-108039;[ATE] Bremssattel;87083091
1435-108466;1452836;1435-108466;[ATE] Bremssattel;87083091
1435-108466;1452836;1435-108466;[ATE] Bremssattel;87083091
1435-113063;2079275;1435-113063;[TRN] Kolben, Bremssattel;87083099
1435-115526;2087158;1435-115526;[TRN] Bremssattel;87083099
1435-115607;2087458;1435-115607;[TRN] Bremssattel;87083099
1435-115608;2087461;1435-115608;[TRN] Bremssattel;87083099
1435-116143;2159271;1435-116143;[BRO] Bremssattel;87083091
1435-117393;2463623;1435-117393;[TRW] Bremssattel;87083091
1435-117438;2463679;1435-117438;[TRW] Bremssattel;87083091
1435-117602;2031785;1435-117602;[PH] Bremssattel;87083091
1435-1178;97328;1435-1178;[PH] Bremssattel;87083091
1435-119174;1766778;1435-119174;[JP] Bremssattel;87083091
1435-120639;2813471;1435-120639;[f.becker] Bremssattel, Vorderachse,links;87083091
1435-120812;2813644;1435-120812;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-120992;2813824;1435-120992;[f.becker] Bremssattel, Hinterachse,links;87083091
1435-120993;2813825;1435-120993;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-122349;2815181;1435-122349;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-122567;2815399;1435-122567;[f.becker] Bremssattel, Vorderachse,links;87083091
1435-122568;2815400;1435-122568;[f.becker] Bremssattel, Vorderachse,rechts;87083091
1435-122731;2815563;1435-122731;[f.becker] Bremssattel, Hinterachse,links,Vorderachse;87083091
1435-122732;2815564;1435-122732;[f.becker] Bremssattel, Hinterachse,rechts,Vorderachse;87083091
1435-122915;2815747;1435-122915;[f.becker] Bremssattel, Hinterachse,links;87083091
1435-122916;2815748;1435-122916;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-122951;2815783;1435-122951;[f.becker] Bremssattel, Hinterachse,links,rechts;87083091
1435-122955;2815787;1435-122955;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-123052;2815884;1435-123052;[f.becker] Bremssattel, Hinterachse,links;87083091
1435-123075;2815907;1435-123075;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-123084;2815916;1435-123084;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-123140;2815972;1435-123140;[f.becker] Bremssattel, Vorderachse,rechts;87083091
1435-123143;2815975;1435-123143;[f.becker] Bremssattel, Hinterachse,links;87083091
1435-123143;2815975;1435-123143;[f.becker] Bremssattel, Hinterachse,links;87083091
1435-123149;2815981;1435-123149;[f.becker] Bremssattel, Hinterachse,links;87083091
1435-123150;2815982;1435-123150;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-123151;2815983;1435-123151;[f.becker] Bremssattel, Hinterachse,links;87083091
1435-123152;2815984;1435-123152;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-123159;2815991;1435-123159;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-123169;2816001;1435-123169;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-123190;2816022;1435-123190;[f.becker] Bremssattel, Hinterachse,links;87083091
1435-123191;2816023;1435-123191;[f.becker] Bremssattel, Hinterachse,rechts;87083091
1435-123210;2816042;1435-123210;[f.becker] Bremssattel, Vorderachse,links;87083091
1435-123210;2816042;1435-123210;[f.becker] Bremssattel, Vorderachse,links;87083091
1435-123211;2816043;1435-123211;[f.becker] Bremssattel, Vorderachse,rechts;87083091
1435-123240;2816072;1435-123240;[f.becker] Bremssattel, Vorderachse,links;87083091
1435-123240;2816072;1435-123240;[f.becker] Bremssattel, Vorderachse,links;87083091
1435-123241;2816073;1435-123241;[f.becker] Bremssattel, Vorderachse,rechts;87083091
1435-123241;2816073;1435-123241;[f.becker] Bremssattel, Vorderachse,rechts;87083091
1435-1235;97953;1435-1235;[PH] Bremssattel;87083091
1435-125205;2824196;1435-125205;[HLP] Bremssattel;87083091
1435-125301;2829233;1435-125301;[JAK] Bremssattel;87083091
1435-125309;2829408;1435-125309;[JAK] Bremssattel;87083091
1435-125407;2974102;1435-125407;[ESN] Bremssattel;87083091
1435-126826;3326018;1435-126826;[ATE] Bremssattel;87083099
1435-126887;3392996;1435-126887;[ATE] Bremssattel;87083091
1435-127065;3040001;1435-127065;[ATE] Bremssattel;87083091
1435-127116;3496277;1435-127116;[f.becker] Bremssattel Vorderachse, links;87083091
1435-127117;3496278;1435-127117;[f.becker] Bremssattel Vorderachse, rechts;87083091
1435-128398;3483212;1435-128398;[ATE] Bremssattel;87083099
1435-128810;3505446;1435-128810;[KAO] Bremssattel;87083091
1435-138379;4228029;1435-138379;[TEX] Bremssattel;87083091
1435-138926;4228584;1435-138926;[TEX] Bremssattel;87083091
1435-138955;4228613;1435-138955;[TEX] Bremssattel;87083091
1435-141526;4298430;1435-141526;[MXG] Bremssattel;87083091
